Ano,Semana Epidemiologica,Cid IBGE,CRS,Nome Municipio,Sexo,Faixa Etaria,Raca Cor,Obitos,Investigacao,Descartados,Inconclusivos,Autoctones,Confirmados,Notificacoes
2016,13,431020,17,Ijuí,F,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2016,15,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,0,0,1,1,1
2016,9,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,0,0,2,2,2
2016,4,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2016,49,431020,17,Ijuí,F,De 40 a 49 anos,Ignorada,0,0,1,0,0,0,1
2016,11,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,0,0,1,1,1
2016,9,431020,17,Ijuí,F,De 50 a 59 anos,Ignorada,0,0,0,0,1,1,1
2016,17,431020,17,Ijuí,F,De 60 a 69 anos,Ignorada,0,0,0,0,1,1,1
2016,5,431020,17,Ijuí,M,De 20 a 29 anos,Ignorada,0,0,2,0,0,0,2
2016,13,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2015,49,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2016,8,431020,17,Ijuí,M,De 50 a 59 anos,Ignorada,0,0,2,0,0,0,2
2016,3,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2016,7,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,0,0,1,1,1
2016,5,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,2,0,0,0,2
2016,20,431020,17,Ijuí,F,De 30 a 39 anos,Ignorada,0,0,0,0,1,1,1
2016,6,431020,17,Ijuí,M,De 70 a 79 anos,Branca,0,0,1,0,0,0,1
2016,7,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,0,0,1,1,1
2016,6,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2016,43,431020,17,Ijuí,F,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2016,17,431020,17,Ijuí,F,De 40 a 49 anos,Ignorada,0,0,0,0,1,1,1
2016,3,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,0,0,1,1,1
2016,6,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2016,17,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,0,0,1,1,1
2016,46,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2016,1,431020,17,Ijuí,F,De 10 a 14 anos,Ignorada,0,0,0,0,1,1,1
2016,37,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2016,30,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2019,22,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,1,1,2
2019,21,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,0,0,1,1,1
2017,20,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2017,18,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2017,50,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2017,44,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2017,18,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2017,5,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2017,4,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2017,3,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2017,9,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2017,12,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2017,3,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2017,7,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2017,2,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2019,22,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,1,1,2
2019,25,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,0,0,1,1,1
2019,24,431020,17,Ijuí,F,De 15 a 19 anos,Ignorada,0,0,1,0,0,0,1
2019,38,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2018,16,431020,17,Ijuí,M,De 01 a 04 anos,Parda,0,0,1,0,0,0,1
2019,18,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,0,0,1,1,1
2018,10,431020,17,Ijuí,F,De 40 a 49 anos,Parda,0,0,1,0,0,0,1
2018,14,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2018,17,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2019,23,431020,17,Ijuí,F,De 01 a 04 anos,Branca,0,0,2,0,0,0,2
2019,45,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2019,19,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2019,19,431020,17,Ijuí,F,De 01 a 04 anos,Branca,0,0,0,0,1,1,1
2019,16,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,0,0,1,1,1
2019,22,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2019,13,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2019,27,431020,17,Ijuí,F,De 01 a 04 anos,Branca,0,0,1,0,0,0,1
2019,17,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2020,18,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,1,1,2
2019,25,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2018,9,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2019,20,431020,17,Ijuí,F,De 40 a 49 anos,Ignorada,0,0,0,0,1,1,1
2018,4,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2018,11,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2020,22,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,2,0,0,0,2
2019,17,431020,17,Ijuí,F,De 30 a 39 anos,Ignorada,0,0,0,0,1,1,1
2019,17,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,0,0,1,1,1
2019,16,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,0,0,1,1,1
2019,24,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2020,30,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2020,19,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,2,2,3
2020,50,431020,17,Ijuí,M,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2020,48,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2020,18,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,0,0,1,1,1
2020,12,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,1,0,0,0,1
2020,48,431020,17,Ijuí,M,De 50 a 59 anos,Parda,0,0,1,0,0,0,1
2020,39,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2020,32,431020,17,Ijuí,F,De 15 a 19 anos,Parda,0,0,1,0,0,0,1
2020,4,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,1,1,2
2020,16,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,1,1,2
2020,51,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2020,39,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2020,18,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,0,0,1,1,1
2020,23,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,1,1,2
2020,15,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,2,0,0,0,2
2020,20,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2020,50,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2020,13,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,2,0,0,0,2
2020,48,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2020,20,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,0,0,1,1,1
2020,50,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2020,27,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2020,20,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2020,16,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2020,42,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2020,18,431020,17,Ijuí,M,De 20 a 29 anos,Parda,0,0,1,0,0,0,1
2020,15,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,0,0,1,1,1
2020,16,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,0,0,1,1,1
2020,14,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,1,1,2
2020,29,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,0,0,1,1,1
2020,19,431020,17,Ijuí,M,De 20 a 29 anos,Parda,0,0,1,0,0,0,1
2020,44,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2020,32,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2020,35,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2020,41,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2023,17,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,5,0,18,18,23
2023,22,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,3,0,14,14,17
2023,21,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,5,0,8,8,13
2023,23,431020,17,Ijuí,F,De 40 a 49 anos,Branca,1,0,5,0,5,5,10
2023,16,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,13,0,37,38,51
2023,20,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,7,0,22,22,29
2023,15,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,17,0,33,34,51
2021,12,431020,17,Ijuí,M,De 70 a 79 anos,Branca,0,0,0,0,1,1,1
2021,14,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,0,0,1,1,1
2021,8,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,1,1,2
2021,15,431020,17,Ijuí,F,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2021,20,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2021,6,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2021,52,431020,17,Ijuí,M,Atï¿½ 01 ano,Branca,0,0,1,0,0,0,1
2021,46,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2021,6,431020,17,Ijuí,M,De 50 a 59 anos,Parda,0,0,1,0,0,0,1
2021,42,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2021,37,431020,17,Ijuí,M,De 10 a 14 anos,Ignorada,0,0,1,0,0,0,1
2021,25,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2021,51,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2021,1,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2021,5,431020,17,Ijuí,F,De 20 a 29 anos,Parda,0,0,1,0,0,0,1
2021,45,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2021,17,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,0,0,1,1,1
2021,20,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,0,0,1,1,1
2021,16,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,4,0,0,0,4
2021,44,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2021,14,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2021,16,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2021,15,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,2,0,0,0,2
2021,10,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2023,19,431020,17,Ijuí,F,De 05 a 09 anos,Branca,0,0,2,0,6,6,8
2023,19,431020,17,Ijuí,M,De 15 a 19 anos,Ignorada,0,0,0,0,1,1,1
2023,18,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,12,0,19,19,31
2023,16,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,2,0,13,13,15
2023,32,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,0,0,1,1,1
2023,15,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,11,0,26,26,37
2023,18,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,10,0,23,23,33
2023,22,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,2,0,12,12,14
2023,18,431020,17,Ijuí,F,De 50 a 59 anos,Ignorada,0,0,0,0,4,4,4
2023,21,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,12,0,17,17,29
2023,23,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,2,0,1,1,3
2023,19,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,5,0,9,9,14
2023,28,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,0,0,2,2,2
2023,19,431020,17,Ijuí,F,De 80 ou mais anos,Branca,0,0,0,0,4,4,4
2023,17,431020,17,Ijuí,F,De 05 a 09 anos,Branca,0,0,10,0,6,6,16
2023,22,431020,17,Ijuí,M,De 01 a 04 anos,Ignorada,0,0,0,0,2,2,2
2023,23,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,4,0,6,6,10
2023,15,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,14,0,36,36,50
2023,16,431020,17,Ijuí,F,De 70 a 79 anos,Branca,0,0,2,0,19,19,21
2023,16,431020,17,Ijuí,F,De 50 a 59 anos,Ignorada,0,0,0,0,7,7,7
2023,22,431020,17,Ijuí,M,De 05 a 09 anos,Ignorada,0,0,0,0,1,1,1
2023,25,431020,17,Ijuí,M,De 80 ou mais anos,Branca,0,0,0,0,1,1,1
2023,27,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,1,0,0,0,1
2023,17,431020,17,Ijuí,F,De 20 a 29 anos,Ignorada,0,0,0,0,12,12,12
2023,16,431020,17,Ijuí,F,De 40 a 49 anos,Ignorada,0,0,1,0,13,13,14
2023,7,431020,17,Ijuí,M,De 20 a 29 anos,Parda,0,0,1,0,0,0,1
2023,21,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,3,0,8,8,11
2023,21,431020,17,Ijuí,F,De 05 a 09 anos,Branca,0,0,0,0,4,4,4
2023,21,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,2,0,5,5,7
2023,25,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,1,0,1,1,2
2023,24,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,6,0,9,9,15
2023,39,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2023,22,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,3,0,8,8,11
2023,47,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,2,0,0,0,2
2023,24,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,0,0,5,5,5
2023,25,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,2,2,3
2023,26,431020,17,Ijuí,F,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2023,23,431020,17,Ijuí,F,De 70 a 79 anos,Ignorada,0,0,0,0,2,2,2
2023,11,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,2,0,12,12,14
2023,26,431020,17,Ijuí,M,De 10 a 14 anos,Parda,0,0,0,0,1,1,1
2023,27,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,3,0,4,4,7
2023,10,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,0,0,3,3,3
2023,19,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,3,0,9,9,12
2023,23,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,0,0,3,3,3
2023,37,431020,17,Ijuí,M,De 80 ou mais anos,Branca,0,0,1,0,0,0,1
2024,13,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,1,0,5,5,6
2022,17,431020,17,Ijuí,M,De 15 a 19 anos,Ignorada,0,0,1,0,0,0,1
2022,21,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,4,0,0,0,4
2022,16,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,8,0,2,2,10
2022,14,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,0,0,1,1,1
2022,14,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,2,0,3,3,5
2022,16,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2022,20,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2022,20,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,3,0,0,0,3
2022,50,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2022,18,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2022,18,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,3,0,0,0,3
2022,17,431020,17,Ijuí,F,De 70 a 79 anos,Branca,0,0,1,0,0,0,1
2022,49,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,1,0,0,0,1
2021,11,431020,17,Ijuí,F,De 40 a 49 anos,Ignorada,0,0,1,0,0,0,1
2022,19,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,1,1,2
2022,27,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2022,17,431020,17,Ijuí,F,De 15 a 19 anos,Branca,0,0,3,0,0,0,3
2022,20,431020,17,Ijuí,M,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2022,41,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2022,46,431020,17,Ijuí,M,De 15 a 19 anos,Parda,0,0,1,0,0,0,1
2022,23,431020,17,Ijuí,F,De 20 a 29 anos,Parda,0,0,1,0,0,0,1
2022,16,431020,17,Ijuí,M,De 50 a 59 anos,Ignorada,0,0,0,0,1,1,1
2023,13,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,7,0,17,17,24
2024,19,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,9,4,0,8,8,21
2023,14,431020,17,Ijuí,M,De 80 ou mais anos,Branca,1,0,0,0,4,4,4
2023,16,431020,17,Ijuí,F,De 20 a 29 anos,Parda,0,0,0,0,2,2,2
2023,24,431020,17,Ijuí,F,De 05 a 09 anos,Branca,0,0,0,0,6,6,6
2023,13,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,3,0,15,15,18
2023,9,431020,17,Ijuí,M,De 01 a 04 anos,Ignorada,0,0,0,0,1,1,1
2023,20,431020,17,Ijuí,F,De 70 a 79 anos,Branca,0,0,2,0,13,14,16
2023,10,431020,17,Ijuí,F,De 70 a 79 anos,Branca,0,0,3,0,2,2,5
2023,12,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,0,9,0,19,19,28
2023,32,431020,17,Ijuí,M,De 40 a 49 anos,Branca,0,0,0,0,1,1,1
2023,17,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,0,0,4,4,4
2023,15,431020,17,Ijuí,M,De 30 a 39 anos,Ignorada,0,0,1,0,8,8,9
2023,22,431020,17,Ijuí,F,De 30 a 39 anos,Ignorada,0,0,0,0,2,2,2
2023,16,431020,17,Ijuí,F,De 01 a 04 anos,Ignorada,0,0,0,0,2,2,2
2023,15,431020,17,Ijuí,M,De 60 a 69 anos,Amarela,0,0,0,0,1,1,1
2023,16,431020,17,Ijuí,F,De 05 a 09 anos,Branca,0,0,4,0,13,13,17
2023,15,431020,17,Ijuí,M,De 70 a 79 anos,Branca,0,0,4,0,6,6,10
2023,24,431020,17,Ijuí,M,De 20 a 29 anos,Ignorada,0,0,0,0,1,1,1
2023,19,431020,17,Ijuí,F,De 60 a 69 anos,Parda,0,0,0,0,2,2,2
2022,13,431020,17,Ijuí,M,Atï¿½ 01 ano,Branca,0,0,0,0,1,1,1
2024,19,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,16,5,0,12,13,34
2024,19,431020,17,Ijuí,F,De 10 a 14 anos,Branca,0,4,5,0,5,5,14
2024,21,431020,17,Ijuí,M,De 10 a 14 anos,Branca,0,4,0,0,0,0,4
2022,17,431020,17,Ijuí,M,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2022,17,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,7,0,2,2,9
2022,15,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,4,0,0,0,4
2022,22,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2022,29,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2022,18,431020,17,Ijuí,F,De 10 a 14 anos,Branca,0,0,2,0,0,0,2
2022,21,431020,17,Ijuí,M,De 05 a 09 anos,Branca,0,0,0,0,1,1,1
2022,46,431020,17,Ijuí,M,De 40 a 49 anos,Ignorada,0,0,1,0,0,0,1
2022,16,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,2,2,3
2022,16,431020,17,Ijuí,M,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2022,2,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,2,0,0,0,2
2022,2,431020,17,Ijuí,F,De 10 a 14 anos,Branca,0,0,1,0,0,0,1
2022,4,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,0,0,1,1,1
2022,10,431020,17,Ijuí,M,De 20 a 29 anos,Parda,0,0,1,0,0,0,1
2022,9,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,1,0,0,0,1
2022,10,431020,17,Ijuí,F,De 60 a 69 anos,Branca,0,0,1,0,0,0,1
2022,11,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2022,11,431020,17,Ijuí,M,De 60 a 69 anos,Branca,0,0,0,0,1,1,1
2022,12,431020,17,Ijuí,M,De 15 a 19 anos,Branca,0,0,0,0,1,1,1
2022,12,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2022,14,431020,17,Ijuí,F,De 40 a 49 anos,Preta,0,0,1,0,0,0,1
2022,19,431020,17,Ijuí,M,De 80 ou mais anos,Branca,0,0,0,0,1,1,1
2022,19,431020,17,Ijuí,M,De 50 a 59 anos,Ignorada,0,0,1,0,0,0,1
2022,19,431020,17,Ijuí,F,Atï¿½ 01 ano,Branca,0,0,1,0,0,0,1
2022,21,431020,17,Ijuí,F,De 05 a 09 anos,Ignorada,0,0,1,0,0,0,1
2022,27,431020,17,Ijuí,F,De 50 a 59 anos,Branca,0,0,1,0,0,0,1
2022,26,431020,17,Ijuí,M,De 70 a 79 anos,Branca,0,0,1,0,0,0,1
2022,28,431020,17,Ijuí,M,De 30 a 39 anos,Parda,0,0,1,0,0,0,1
2022,29,431020,17,Ijuí,M,De 30 a 39 anos,Branca,0,0,1,0,0,0,1
2022,45,431020,17,Ijuí,M,De 20 a 29 anos,Branca,0,0,2,0,0,0,2
2022,45,431020,17,Ijuí,F,De 40 a 49 anos,Branca,0,0,1,0,0,0,1
2022,46,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,1,0,0,0,1
2024,15,431020,17,Ijuí,F,De 30 a 39 anos,Branca,0,1,12,0,16,17,30
2024,10,431020,17,Ijuí,F,De 20 a 29 anos,Branca,0,0,15,0,4,4,19
